trial,gate,00,10,01,11
1,random,9.119,8.999,10.058,9.233
2,random,6.491,5.784,3.640,4.169
3,random,7.162,2.62,2.055,4.168
4,random,6.010,6.935,10.301,9.864
5,random,4.792,4.736,3.998,4.060

