seed,gate,encoding,stiffness,size,fitness_gen_100
17,AND,stiffness,True,False,1.1313856282992218
18,AND,stiffness,True,False,1.130134368974288
19,AND,stiffness,True,False,1.1311856457059597
20,AND,stiffness,True,False,1.1312584460100805
21,AND,stiffness,True,False,1.1313319936949315
22,AND,stiffness,True,False,1.131129011964792
23,AND,stiffness,True,False,1.1171796834591758
24,AND,stiffness,True,False,1.1287852010383024
25,AND,stiffness,True,False,1.131358538223252
26,AND,stiffness,True,False,1.131314194106361
27,AND,stiffness,True,False,1.1313112094862545
28,AND,stiffness,True,False,1.1305949526280024
29,AND,stiffness,True,False,1.13134897876453
0,AND,stiffness,True,True,5.972378960285649
1,AND,stiffness,True,True,1.9800228586442046
2,AND,stiffness,True,True,6.267352415195384
3,AND,stiffness,True,True,6.220075130866879
4,AND,stiffness,True,True,2.15891317544166
5,AND,stiffness,True,True,7.642622228201448
6,AND,stiffness,True,True,8.588189186705906
7,AND,stiffness,True,True,6.53909746862207
8,AND,stiffness,True,True,7.941808938197863
9,AND,stiffness,True,True,6.441866789722338
10,AND,stiffness,True,True,2.995118957166685
11,AND,stiffness,True,True,5.789303582834912
12,AND,stiffness,True,True,7.686466974623261
13,AND,stiffness,True,True,7.16829256826917
14,AND,stiffness,True,True,6.5435093853862885
15,AND,stiffness,True,True,3.8929565420160124
16,AND,stiffness,True,True,6.115137299450666
17,AND,stiffness,True,True,2.0725701921387865
18,AND,stiffness,True,True,8.015961533227703
19,AND,stiffness,True,True,7.28432469743819
20,AND,stiffness,True,True,8.244547918253952
21,AND,stiffness,True,True,2.3572430540235234
22,AND,stiffness,True,True,6.764714094833276
23,AND,stiffness,True,True,6.342126027865123
24,AND,stiffness,True,True,2.7007295917523333
25,AND,stiffness,True,True,7.461888742811417
26,AND,stiffness,True,True,7.101809466779252
27,AND,stiffness,True,True,7.8936874985348275
28,AND,stiffness,True,True,6.017474693337196
29,AND,stiffness,True,True,2.026854453574138
0,NAND,stiffness,True,False,0.24414241910400655
1,NAND,stiffness,True,False,0.24667339116924314
2,NAND,stiffness,True,False,0.24597047870827754
3,NAND,stiffness,True,False,0.24553935552084719
4,NAND,stiffness,True,False,0.2467193762930964
5,NAND,stiffness,True,False,0.2465177064910129
6,NAND,stiffness,True,False,0.2442736088453073
7,NAND,stiffness,True,False,0.24641475216597852
8,NAND,stiffness,True,False,0.24247996735711283
9,NAND,stiffness,True,False,0.24557027370642906
10,NAND,stiffness,True,False,0.2464243826149911
11,NAND,stiffness,True,False,0.24638877744378593
12,NAND,stiffness,True,False,0.2457135532850919
13,NAND,stiffness,True,False,0.2463486199509956
14,NAND,stiffness,True,False,0.24578337114611545
15,NAND,stiffness,True,False,0.24452357225373522
16,NAND,stiffness,True,False,0.24661943028417416
17,NAND,stiffness,True,False,0.24663725794525052
18,NAND,stiffness,True,False,0.2467193762930964
19,NAND,stiffness,True,False,0.2445235666473194
20,NAND,stiffness,True,False,0.24578444905526126
21,NAND,stiffness,True,False,0.2446267326898331
22,NAND,stiffness,True,False,0.24559790805059034
23,NAND,stiffness,True,False,0.2467193762930964
24,NAND,stiffness,True,False,0.24170187598692786
25,NAND,stiffness,True,False,0.2450215111266397
26,NAND,stiffness,True,False,0.24612423482280185
27,NAND,stiffness,True,False,0.24166430405148265
28,NAND,stiffness,True,False,0.2467193762930964
29,NAND,stiffness,True,False,0.24667040959681716
0,NAND,stiffness,True,True,9.463319869898804
1,NAND,stiffness,True,True,6.857379237036513
2,NAND,stiffness,True,True,4.255071022527355
3,NAND,stiffness,True,True,9.933363776653849
4,NAND,stiffness,True,True,29.96650613636824
5,NAND,stiffness,True,True,5.965168368171589
6,NAND,stiffness,True,True,6.543868696271534
7,NAND,stiffness,True,True,4.900737806490867
8,NAND,stiffness,True,True,4.541933357968037
9,NAND,stiffness,True,True,2.9452113196092826
10,NAND,stiffness,True,True,2.615726910962201
11,NAND,stiffness,True,True,8.79048084476347
12,NAND,stiffness,True,True,14.113802971309777
