trial,gate,00,10,01,11
1,random,10.178,9.718,10.365,10.422
2,random,10.456,8.732,9.632,9.565
3,random,8.766,8.049,8.761,9.220
4,random,10.040,9.699,10.046,9.521
5,random,10.547,9.901,8.724,11.069
6,random,8.968,9.934,9.736,9.744
7,random,8.882,8.448,9.660,9.607
8,random,8.613,8.786,9.377,9.190
9,random,8.971,10.406,10.042,10.347
10,random,8.895,9.878,10.342,10.761
